Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
506,Greater understanding,,Maybe it is age but I see through a lot of the propaganda we are exposed to.,Racial differences in prison ,,"In the prison environment it is not practical to say race has no bearing on political or any other views. Racial leaders all seem to be influencing their own parties in a negative way,I believe, because the more strife that is in our lives the quicker we """"THE PEOPLE"""" will freely hand over our free will. ",,,,,,,,,,,
6314,Believes political vote matters more,,Seeing and hearing what I have from other inmates makes me want to vote to try to get better officials voted in to stop corruption and have a fair and honest legal system.,Does not matter,,Race doesnt matter in this prison its all about politics,,,,,,,,,,,
7695,Need for change in system,,I feel as though the penal system chases demographics and relies too heavily on statistics to make informed judgements. Too many umbrella classifucation of crimes.,Tries not to ,,I personally try to sway any bias regarding race.,,,,,,,,,,,
7799,Experience in prison,,Ive seen alot of heabus corpus,Racial differences in prison ,,Its segragated in prison for a reason,,,,,,,,,,,
2949,None,,[No],System disparities in race,,[A great deal] The whole system is racist. Thats why 70% of the inmate population in the D.O.C. is Black,,,,,,,,,,,
4859,Greater understanding,,I now tend to see how much electing the right people can efect change nnation wide and localy,Not about race,,I try to treat people as people not as colors,,,,,,,,,,,
1503,Less belief in system,,Same answer on last essay,System disparities in race,,I'm Caucasian and We are the bad guys now. It makes me dislike all things that make america easier for ethnic people and harder for white people.,,,,,,,,,,,
5494,View on political parties,,"Im more concerned with the state of our econemy and worried that no matter who is in office ,they're going to screw us over on some level jyst to achieve there own agenda",Not involved,,I dont get i.volved much in political crap,,,,,,,,,,,
454,View on politics,,Yes,,,Iam locked in can't get out,,,,,,,,,,,
5551,More aware,,Its made me more aware of decisions or new laws made by the judicial branch But also take a good look at how decisions and what decisions are most important to me,Na,,,,,,,,,,,,,
5002,Political,,The state goverment only worry about federal finding. For example. In kansas prisons they have built a new lansing prison. It's two man cells in a 6 by ten cell with one storage locker for two guys.,Racial differences in prison ,,Theres a lot of racism in kdoc,,,,,,,,,,,
255,Less belief in system,,"Yes. quite a lot.  However I cannot type the truth,so I'll not type anything.

",Racial differences in prison ,,"That is too hard to answer truthfully and honestly. There are too many inmates that do not know anything about our political system.  They hear the same thing that I used to speak while trying to register citizens as Democrats. There are very serious matters that I actually know that I cannot put down on paper. The main population of our penal system is African Americans and as sad as it sounds, it still rings true, when anything is offered FREE or with assistance, THEY are all for it.  I have to quit writing the truth, I can get in trouble.....in here.
",,,,,,,,,,,
7787,None,,[No],Race does not matter,,"[Not at all] We all bleed the same color, we all breathe the same air, we are all in the same boat. I have blacks & hispanics in my family. racism doesn't fly",,,,,,,,,,,
5030,None,,No,None,,Not right now,,,,,,,,,,,
6791,View on political parties,,"     I was more inclined to think more like a Republican, now I am more in the middle leaning to the left.",Race does not matter,,I think all lives matter.,,,,,,,,,,,
5492,Lost interest,,Since being locked up i have started to fear my goverment and lost alot of intrest in politics.,Not sure ,,Not sure how to answer.,,,,,,,,,,,
2991,Political,,[No] Goverment is needed but wrongly misinterpreted yet somewhat affected by overall in the right direction. The right smart & honest people in the right positions will help lead the world in the right direction.,Race does not matter,,[Not at all] We are all human and should have evolved enough to know raise has no race or value difference to human life we just need to teach each other and make sure we extract the most we can while we on earth.,,,,,,,,,,,
5122,Views on politicians,,I have become.more aware of political divirsities,Race does not matter,,I don't let my racial identity influence how I treat people,,,,,,,,,,,
556,Need for change in system,,"All people want to do is incarcerate and not rehabilitate. They don't want to release anyone, just have mass incarceration.",Race does not matter,,If you are white and like black you could get hurt..It's the same either way.,,,,,,,,,,,
7618,Education,,Yes. Realize need to know.my rights,Yes,,Im sure it affects many,,,,,,,,,,,
4001,Political opinion,,My view on gun control,Experience because of race,,Information usually leans towards one race not all,,,,,,,,,,,
2317,Time,,Yes its changed i've never really mentioned them before,,,Never been to prision,,,,,,,,,,,
878,Pays more attention,,"When I was out before I became incarcerated I didn't pay much attention, I was always on drugs or working ",,,It only causes racial issues going by race. It should be by opinion only!,,,,,,,,,,,
3426,Need for change in system,,"I think that the system flawed, ",All races should be equal ,,I belive all races should be equal,,,,,,,,,,,
2788,Religion,,I am Roman Catholic and cannot support abortion/death penalty by reason of my devout faith,All races should be equal ,,We are all Americans entitled by law to equal opportunity,,,,,,,,,,,
3064,Expanded view,,"Exsperiancing the incarseraited life has opened my eyes , to see the other side i was blind to.",Race does not matter,,Your race dont hold value as your crime deturmens your rank on the food chain.,,,,,,,,,,,
